width,distance,movement_time
8,210,1146
8,210,1159
8,210,1024
8,210,1128
8,210,865
8,210,1287
8,210,1054
8,210,922
8,210,1024
8,210,1269
8,210,944
14,75,672
14,75,888
14,75,910
14,75,754
14,75,704
14,75,742
14,75,690
14,75,824
14,75,728
14,75,671
14,75,634
10,160,1030
10,160,1114
10,160,880
10,160,1104
10,160,863
10,160,1119
10,160,882
10,160,983
10,160,1032
10,160,1336
10,160,1344
10,160,989
20,210,978
20,210,848
20,210,888
20,210,920
20,210,927
20,210,841
20,210,760
20,210,808
20,210,824
20,210,824
20,75,585
20,75,636
20,75,912
20,75,718
20,75,610
20,75,726
20,75,650
20,75,702
20,75,570
20,75,750
20,75,778
8,120,822
8,120,865
8,120,857
8,120,1046
8,120,931
8,120,1231
8,120,1032
8,120,893
8,120,867
8,120,1187
14,60,537
14,60,638
14,60,592
14,60,647
14,60,545
14,60,710
14,60,528
14,60,608
14,60,536
14,60,600
14,60,561
6,120,1086
6,120,1296
6,120,1289
6,120,959
6,120,857
6,120,1048
6,120,1144
6,120,1007
6,120,1041
6,120,944
6,120,1056
18,60,480
18,60,569
18,60,496
18,60,575
18,60,424
18,60,378
18,60,471
18,60,458
18,60,375
18,60,456
6,75,574
6,75,817
6,75,805
6,75,771
6,75,727
6,75,873
6,75,944
6,75,710
6,75,786
6,75,1008
20,160,808
20,160,847
20,160,824
20,160,727
20,160,690
20,160,766
20,160,882
20,160,672
20,160,952
20,160,751
18,160,744
18,160,695
18,160,792
18,160,792
18,160,751
18,160,754
18,160,661
18,160,707
18,160,679
18,160,737
18,120,609
18,120,662
18,120,729
18,120,647
18,120,585
18,120,599
18,120,673
18,120,695
18,120,561
18,120,630
18,120,610
8,75,640
8,75,727
8,75,864
8,75,929
8,75,647
8,75,827
8,75,590
8,75,722
8,75,832
8,75,1007
6,60,735
6,60,742
6,60,663
6,60,681
6,60,743
6,60,727
6,60,800
6,60,760
6,60,672
6,60,744
6,60,688
6,60,679
14,40,425
14,40,432
14,40,441
14,40,527
14,40,416
14,40,472
14,40,455
14,40,408
14,40,422
14,40,435
6,40,808
6,40,600
6,40,832
6,40,535
6,40,616
6,40,672
6,40,615
6,40,851
6,40,679
6,40,697
6,40,594
6,40,601
8,160,982
8,160,1041
8,160,864
8,160,920
8,160,824
8,160,928
8,160,809
8,160,902
8,160,1091
8,160,1208
8,160,952
10,75,553
10,75,528
10,75,696
10,75,688
10,75,520
10,75,625
10,75,623
10,75,740
10,75,712
10,75,791
10,75,544
6,210,1034
6,210,1056
6,210,936
6,210,982
6,210,866
6,210,824
6,210,984
6,210,1221
6,210,803
6,210,1010
6,210,1089
6,210,837
14,160,845
14,160,895
14,160,955
14,160,808
14,160,790
14,160,569
14,160,760
14,160,888
14,160,600
14,160,783
14,160,753
14,160,726
20,60,480
20,60,446
20,60,472
20,60,522
20,60,441
20,60,575
20,60,590
20,60,505
20,60,409
20,60,406
6,160,1065
6,160,870
6,160,786
6,160,896
6,160,934
6,160,1048
6,160,1135
6,160,1100
6,160,914
6,160,886
20,40,383
20,40,409
20,40,526
20,40,450
20,40,417
20,40,494
20,40,432
20,40,458
20,40,406
20,40,385
20,40,343
14,210,846
14,210,856
14,210,769
14,210,793
14,210,1153
14,210,918
14,210,1209
14,210,861
14,210,801
14,210,792
14,210,673
18,210,903
18,210,817
18,210,702
18,210,826
18,210,816
18,210,809
18,210,824
18,210,759
18,210,823
18,210,720
18,210,679
10,40,840
10,40,833
10,40,545
10,40,551
10,40,704
10,40,480
10,40,568
10,40,544
10,40,672
10,40,496
10,60,551
10,60,583
10,60,858
10,60,720
10,60,505
10,60,710
10,60,497
10,60,528
10,60,586
10,60,574
10,60,597
18,40,358
18,40,457
18,40,385
18,40,441
18,40,385
18,40,398
18,40,368
18,40,409
18,40,424
18,40,414
18,40,337
18,40,392
18,40,530
8,60,666
8,60,726
8,60,890
8,60,656
8,60,816
8,60,784
8,60,560
8,60,719
8,60,967
8,60,770
18,75,570
18,75,495
18,75,439
18,75,520
18,75,520
18,75,511
18,75,567
18,75,587
18,75,511
18,75,512
20,120,886
20,120,625
20,120,696
20,120,688
20,120,705
20,120,695
20,120,806
20,120,794
20,120,598
20,120,720
20,120,665
10,120,984
10,120,833
10,120,641
10,120,734
10,120,808
10,120,768
10,120,758
10,120,698
10,120,761
10,120,735
10,210,800
10,210,800
10,210,1063
10,210,1099
10,210,1160
10,210,816
10,210,784
