width,amplitude,movetime
40,400,267
40,400,228
40,400,269
40,400,241
40,400,269
40,400,236
40,400,230
40,400,313
40,400,280
40,400,260
40,400,257
40,400,247
40,400,291
40,500,330
40,500,267
40,500,326
40,500,313
40,500,313
40,500,322
40,500,300
40,500,322
40,500,303
40,500,356
40,500,343
40,500,317
40,500,399
40,500,393
40,500,446
40,500,380
40,500,403
40,500,357
40,500,430
40,500,376
50,300,267
50,300,297
50,300,253
50,300,253
50,300,260
50,300,248
50,300,223
50,300,277
50,300,250
50,300,236
50,300,253
50,300,240
50,300,250
50,300,256
50,300,256
50,300,253
50,300,220
50,300,261
50,300,303
50,300,226
80,500,363
80,500,439
80,500,379
80,500,385
80,500,379
80,500,296
80,500,370
80,500,270
80,500,414
80,500,456
80,500,316
80,500,392
80,500,337
80,500,413
80,500,373
80,500,430
80,500,400
80,500,450
80,500,403
25,400,613
25,400,597
25,400,540
25,400,690
25,400,577
25,400,644
25,400,552
25,400,587
25,400,506
25,400,590
25,400,590
25,400,624
25,400,541
25,400,630
25,400,533
25,400,610
25,400,563
25,400,613
25,400,582
25,400,607
25,200,287
25,200,343
25,200,307
25,200,376
25,200,343
25,200,362
25,200,309
25,200,363
25,200,306
25,200,356
25,200,353
25,200,350
25,200,283
25,200,290
25,200,367
25,200,282
25,200,327
25,200,393
80,600,426
80,600,474
80,600,416
80,600,454
80,600,460
80,600,456
80,600,403
80,600,454
80,600,476
80,600,510
80,600,420
80,600,509
80,600,426
80,600,463
80,600,403
80,600,472
80,600,453
80,600,456
80,600,463
80,600,476
40,200,253
40,200,297
40,200,280
40,200,260
40,200,246
40,200,240
40,200,253
40,200,265
40,200,264
40,200,239
40,200,283
40,200,279
40,200,270
40,200,233
40,200,230
40,200,261
40,200,217
40,200,283
40,200,317
25,500,787
25,500,797
25,500,844
25,500,977
25,500,796
25,500,930
25,500,931
25,500,880
25,500,779
25,500,963
25,500,816
25,500,890
25,500,867
25,500,940
25,500,856
25,500,866
25,500,907
25,500,926
25,500,832
25,500,910
20,300,632
20,300,756
20,300,710
20,300,724
20,300,573
20,300,580
20,300,767
20,300,643
20,300,707
20,300,623
20,300,650
20,300,655
20,300,648
20,300,633
20,300,683
20,300,686
20,300,637
20,300,580
20,300,656
20,300,556
80,700,606
80,700,610
80,700,633
80,700,606
80,700,587
80,700,666
80,700,630
80,700,590
80,700,646
80,700,643
80,700,587
80,700,597
80,700,636
80,700,583
80,700,613
80,700,525
80,700,551
80,700,549
80,700,587
80,700,510
80,300,264
80,300,283
80,300,323
80,300,310
80,300,271
80,300,253
80,300,250
80,300,223
80,300,204
80,300,220
80,300,256
80,300,222
80,300,224
80,300,203
80,300,213
80,300,240
80,300,240
80,300,250
80,300,202
80,300,243
30,200,290
30,200,257
30,200,203
30,200,253
30,200,203
30,200,269
30,200,253
30,200,257
30,200,173
30,200,230
30,200,190
30,200,240
30,200,239
30,200,266
30,200,183
30,200,267
30,200,200
30,200,307
30,200,190
30,200,263
